rank,id,image_path,mask_path,subcategory,img_width,img_height,fence_pixel_count,fence_coverage_pct,review_source,in_splits
12,4165c90d-3ea3-4932-b18e-e27f6c1b2ea7,data_scraped/images/pw_google__cedar_picket_fence__8b2209b0.jpg,dataset/annotations_v1/masks/4165c90d-3ea3-4932-b18e-e27f6c1b2ea7.png,style_cedar,900,900,4,0.000494,auto_accept_positive,train
13,7d33839c-17c1-46e0-a263-5383622a5cf8,data_scraped/images/pw_google__fence_after_hailstorm_damaged_dented__2b67a06a.jpg,dataset/annotations_v1/masks/7d33839c-17c1-46e0-a263-5383622a5cf8.png,damaged_construction,800,800,4,0.000625,auto_accept_positive,train
14,8201d7ca-c889-402f-8220-34a7483f031f,data_scraped/images/pixabay__wooden_privacy_fence_backyard__2e0ff005.jpg,dataset/annotations_v1/masks/8201d7ca-c889-402f-8220-34a7483f031f.png,style_wood,1280,853,4,0.000366,auto_accept_positive,train
15,d377851a-5f6a-4f72-a8eb-6bf36732dcaa,data_scraped/images/wikimedia__redwood_fence__c0d9bfa7.jpg,dataset/annotations_v1/masks/d377851a-5f6a-4f72-a8eb-6bf36732dcaa.png,style_wood,1280,1643,4,0.000190,auto_accept_positive,train+train_hq
16,9466110b-c70b-4a01-aa94-9e1369951906,data_scraped/images/pw_houzz__wooden_horizontal_fence__61483794.jpg,dataset/annotations_v1/masks/9466110b-c70b-4a01-aa94-9e1369951906.png,style_wood,1600,1600,5,0.000195,auto_accept_positive,train+train_hq
17,abc6301b-378a-40a7-a8b6-d9a2c198688c,data_scraped/images/unsplash__cedar_fence__abd9b448.jpg,dataset/annotations_v1/masks/abc6301b-378a-40a7-a8b6-d9a2c198688c.png,style_cedar,1080,608,5,0.000761,auto_accept_positive,train
18,4dfa1322-1306-4459-b2f8-5f1a8c1de392,data_scraped/images/pw_google__wooden_fence_overhead_drone_orthogonal__15eb95f8.jpg,dataset/annotations_v1/masks/4dfa1322-1306-4459-b2f8-5f1a8c1de392.png,angle,1749,718,6,0.000478,auto_accept_positive,train
19,5e3bb11e-d0a7-4e39-ac3e-07bb43cb0c92,data_scraped/images/pixabay__cedar_fence_residential_backyard__65a84514.jpg,dataset/annotations_v1/masks/5e3bb11e-d0a7-4e39-ac3e-07bb43cb0c92.png,style_cedar,1280,850,7,0.000643,auto_accept_positive,train
20,b48c6ca2-8d1c-44b3-90ec-68f46b802e39,data_scraped/images/unsplash__cedar_fence__5794e87e.jpg,dataset/annotations_v1/masks/b48c6ca2-8d1c-44b3-90ec-68f46b802e39.png,style_cedar,1080,720,7,0.000900,auto_accept_positive,train
21,b5142edf-da6e-4096-9aef-e00aa28b3207,data_scraped/images/pw_google__fence_wooden_gazebo_shed_outdoor_living___dc0ecc4b.jpg,dataset/annotations_v1/masks/b5142edf-da6e-4096-9aef-e00aa28b3207.png,multi_structure,1500,1500,8,0.000356,auto_accept_positive,train+train_hq
22,ea0cf683-5435-4717-a37b-3d7c1bb5c78d,data_scraped/images/pw_houzz__wooden_fence_behind_climbing_roses_wall___c2e75a49.jpg,dataset/annotations_v1/masks/ea0cf683-5435-4717-a37b-3d7c1bb5c78d.png,style_wood,1600,1600,8,0.000313,auto_accept_positive,train+train_hq
23,1d770fb2-8b65-4685-a041-f88c4ec1e7b4,data_scraped/images/pixabay__cedar_fence_residential_backyard__ef4f60f2.jpg,dataset/annotations_v1/masks/1d770fb2-8b65-4685-a041-f88c4ec1e7b4.png,style_cedar,1280,850,9,0.000827,auto_accept_positive,train
24,337d878d-7316-4494-8d1e-a565381b7d6d,data_scraped/images/pw_bing__wooden_lattice_top_fence__e699f374.jpg,dataset/annotations_v1/masks/337d878d-7316-4494-8d1e-a565381b7d6d.png,style_wood,1000,1000,9,0.000900,auto_accept_positive,train
25,2e26069a-38ed-4fd5-aeb0-391b8b325441,data_scraped/images/pw_houzz__wooden_fence_panels__d169e746.jpg,dataset/annotations_v1/masks/2e26069a-38ed-4fd5-aeb0-391b8b325441.png,style_wood,1600,1600,11,0.000430,auto_accept_positive,train+train_hq
26,7aca69d0-1bf8-4685-94c7-8458fb75e431,data_scraped/images/wikimedia__oak_fence__48e079aa.jpg,dataset/annotations_v1/masks/7aca69d0-1bf8-4685-94c7-8458fb75e431.png,fence_general,1920,1466,11,0.000391,auto_accept_positive,train+train_hq
27,8fe39c46-b84c-4cf2-a13f-0bbd55997a1b,data_scraped/images/pixabay__cedar_fence_residential_backyard__c706b614.jpg,dataset/annotations_v1/masks/8fe39c46-b84c-4cf2-a13f-0bbd55997a1b.png,style_cedar,1280,853,11,0.001007,auto_accept_positive,train
28,02709aa1-3621-4359-9b77-33fa5cff12aa,data_scraped/images/pw_bing__pressure_treated_wood_fence__c023e532.jpg,dataset/annotations_v1/masks/02709aa1-3621-4359-9b77-33fa5cff12aa.png,style_wood,900,900,12,0.001481,auto_accept_positive,train
29,73446e3d-ce6b-4a3d-8850-5c6d5cc65260,data_scraped/images/wikimedia__wattle_fence__3f246bce.jpg,dataset/annotations_v1/masks/73446e3d-ce6b-4a3d-8850-5c6d5cc65260.png,fence_general,1920,1277,12,0.000489,auto_accept_positive,train+train_hq
30,8d438375-7faf-4a27-9660-5aea5d68fe74,data_scraped/images/pixabay__cedar_fence_residential_backyard__c74b48c2.jpg,dataset/annotations_v1/masks/8d438375-7faf-4a27-9660-5aea5d68fe74.png,style_cedar,1280,860,12,0.001090,auto_accept_positive,train
31,da9ecd2a-bba8-428c-9141-32395497aabc,data_scraped/images/pixabay__cedar_fence_residential_backyard__308f7c8b.jpg,dataset/annotations_v1/masks/da9ecd2a-bba8-428c-9141-32395497aabc.png,style_cedar,1280,853,12,0.001099,auto_accept_positive,train
32,35df2177-5a07-41be-8bf8-8e4e3af16666,data_scraped/images/unsplash__cedar_privacy_fence__10f05019.jpg,dataset/annotations_v1/masks/35df2177-5a07-41be-8bf8-8e4e3af16666.png,style_cedar,1080,720,13,0.001672,auto_accept_positive,train
33,486ec9cb-044f-4193-a01d-7fb50ee7034a,data_scraped/images/pw_houzz__cedar_horizontal_slat_fence__c5c4e43b.jpg,dataset/annotations_v1/masks/486ec9cb-044f-4193-a01d-7fb50ee7034a.png,style_cedar,1600,1600,13,0.000508,auto_accept_positive,train+train_hq
34,94ecc7a1-9844-49a8-86a7-29534220bb11,data_scraped/images/wikimedia__treated_wood_fence__fd7a0ca2.jpg,dataset/annotations_v1/masks/94ecc7a1-9844-49a8-86a7-29534220bb11.png,fence_general_wood,960,1377,13,0.000983,auto_accept_positive,train
35,77e29753-039b-47d1-8345-1ae989efe53f,data_scraped/images/wikimedia__lattice_fence__b4f19a98.jpg,dataset/annotations_v1/masks/77e29753-039b-47d1-8345-1ae989efe53f.png,fence_general,1600,1062,15,0.000883,auto_accept_positive,train+train_hq
36,a4ba2ef1-305c-4ad8-9c9f-a09655bfabdf,data_scraped/images/wikimedia__louvered_fence__c4ec4479.jpg,dataset/annotations_v1/masks/a4ba2ef1-305c-4ad8-9c9f-a09655bfabdf.png,fence_general,960,1280,15,0.001221,auto_accept_positive,train
37,05c4dcb6-dfa5-43fd-a0b9-7ec935f605f2,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__ed3dafe4.jpg,dataset/annotations_v1/masks/05c4dcb6-dfa5-43fd-a0b9-7ec935f605f2.png,scale_extreme,1080,720,16,0.002058,auto_accept_positive,train
38,1ab38fd9-b579-4e8d-af3c-565596b72e5d,data_scraped/images/pixabay__cedar_fence_residential_backyard__84b1006c.jpg,dataset/annotations_v1/masks/1ab38fd9-b579-4e8d-af3c-565596b72e5d.png,style_cedar,1280,853,16,0.001465,auto_accept_positive,train
39,26c5b912-dbd0-43fb-8b14-f790a6e593e6,data_scraped/images/pw_google__wooden_fence_next_garden_shed_both_cedar__fd538074.jpg,dataset/annotations_v1/masks/26c5b912-dbd0-43fb-8b14-f790a6e593e6.png,style_wood,1517,1517,16,0.000695,auto_accept_positive,train+train_hq
40,dce67320-552a-4dd5-939e-fd16eb7f927c,data_scraped/images/pw_pinterest__cedar_fence_viewed_from_rooftop_above__4e45d61e.jpg,dataset/annotations_v1/masks/dce67320-552a-4dd5-939e-fd16eb7f927c.png,angle,1080,1298,16,0.001141,auto_accept_positive,train+train_hq
41,14e199ae-735c-4451-a314-1de4651e34e5,data_scraped/images/pw_google__wooden_fence_corner_next_log_cabin_exter__c0861f20.jpg,dataset/annotations_v1/masks/14e199ae-735c-4451-a314-1de4651e34e5.png,multi_structure,872,1000,17,0.001950,auto_accept_positive,train
42,1772ace4-6a57-4b07-bbef-ea669bbba90d,data_scraped/images/pixabay__cedar_fence_residential_backyard__2ad1b8c5.jpg,dataset/annotations_v1/masks/1772ace4-6a57-4b07-bbef-ea669bbba90d.png,style_cedar,1280,853,17,0.001557,auto_accept_positive,train
43,57038e27-052a-4e0e-9ec8-5ae6d7197e61,data_scraped/images/wikimedia__suburban_fence__c7e08f84.jpg,dataset/annotations_v1/masks/57038e27-052a-4e0e-9ec8-5ae6d7197e61.png,fence_general,1275,962,17,0.001386,auto_accept_positive,train
44,74f946c6-e05e-4a77-9cdd-339eabe2c352,data_scraped/images/pw_bing__wooden_fence_panels__3e2593db.jpg,dataset/annotations_v1/masks/74f946c6-e05e-4a77-9cdd-339eabe2c352.png,style_wood,1200,1200,17,0.001181,auto_accept_positive,train+train_hq
45,70040ea0-6b4d-49af-ae5b-73f5b740496c,data_scraped/images/pw_houzz__fence_backlit_rising_sun_morning_mist__8df9c728.jpg,dataset/annotations_v1/masks/70040ea0-6b4d-49af-ae5b-73f5b740496c.png,lighting,1600,1600,19,0.000742,auto_accept_positive,train+train_hq
46,90550396-227c-4be9-88c0-99f98cdf004c,data_scraped/images/wikimedia__teak_fence__2dd526b1.jpg,dataset/annotations_v1/masks/90550396-227c-4be9-88c0-99f98cdf004c.png,fence_general,960,1480,19,0.001337,auto_accept_positive,train
47,667ce6e5-5fce-419a-84bd-d92af05b3e9c,data_scraped/images/pw_pinterest__wooden_fence_behind_climbing_roses_wall___dfb87fa6.jpg,dataset/annotations_v1/masks/667ce6e5-5fce-419a-84bd-d92af05b3e9c.png,style_wood,864,1296,21,0.001875,auto_accept_positive,train
48,ca4a6904-8672-4dd4-8522-35de759d6daf,data_scraped/images/pixabay__cedar_fence_residential_backyard__dc500fd4.jpg,dataset/annotations_v1/masks/ca4a6904-8672-4dd4-8522-35de759d6daf.png,style_cedar,1280,960,22,0.001790,auto_accept_positive,train
49,e616571e-ac3f-47f4-81bf-bd7e807a20b6,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__6bb03002.jpg,dataset/annotations_v1/masks/e616571e-ac3f-47f4-81bf-bd7e807a20b6.png,scale_extreme,1080,720,22,0.002829,auto_accept_positive,train
50,a9a59713-3706-42bf-ac84-bc5a38cc2f7a,data_scraped/images/pixabay__cedar_fence_residential_backyard__e1647843.jpg,dataset/annotations_v1/masks/a9a59713-3706-42bf-ac84-bc5a38cc2f7a.png,style_cedar,1280,854,23,0.002104,auto_accept_positive,train
51,c416973b-7b8f-4ef7-a30e-266eb3da2ae3,data_scraped/images/pixabay__wooden_privacy_fence_backyard__51fa4f17.jpg,dataset/annotations_v1/masks/c416973b-7b8f-4ef7-a30e-266eb3da2ae3.png,style_wood,1280,853,23,0.002107,auto_accept_positive,train
52,e35e0547-e3fa-4217-a9fd-d6939f9411c0,data_scraped/images/wikimedia__louvered_fence__fd5af22f.jpg,dataset/annotations_v1/masks/e35e0547-e3fa-4217-a9fd-d6939f9411c0.png,fence_general,960,1535,23,0.001561,auto_accept_positive,train
53,aea89be9-0211-4b81-be73-8dd9244616a8,data_scraped/images/pw_google__cedar_fence_panels_stacked_ready_install__c536a2e5.jpg,dataset/annotations_v1/masks/aea89be9-0211-4b81-be73-8dd9244616a8.png,damaged_construction,1200,1200,24,0.001667,auto_accept_positive,train+train_hq
54,d1911373-b117-47f3-a8e6-c80d6c73f1b4,data_scraped/images/pw_google__redwood_fence__6adccf53.jpg,dataset/annotations_v1/masks/d1911373-b117-47f3-a8e6-c80d6c73f1b4.png,style_wood,1000,611,24,0.003928,auto_accept_positive,train
55,68aa22bc-d00e-477b-af59-eb751c240726,data_scraped/images/pw_bing__cedar_picket_fence_hd__b58b1ef0.jpg,dataset/annotations_v1/masks/68aa22bc-d00e-477b-af59-eb751c240726.png,style_cedar,1000,1000,25,0.002500,auto_accept_positive,train
56,f9fa1a41-6f7b-471c-ae0b-b61ce67fb31e,data_scraped/images/pw_google__wooden_fence_macro_extreme_close-up_sing__0d2bf3a8.jpg,dataset/annotations_v1/masks/f9fa1a41-6f7b-471c-ae0b-b61ce67fb31e.png,scale_extreme,846,707,26,0.004347,auto_accept_positive,train
57,92a7e58d-d090-44a8-8c41-b793aa47c019,data_scraped/images/wikimedia__bamboo_fence__d7711969.jpg,dataset/annotations_v1/masks/92a7e58d-d090-44a8-8c41-b793aa47c019.png,style_wood,1920,1280,27,0.001099,auto_accept_positive,train+train_hq
58,c1fb6b19-afe2-441b-9c53-87b265f9606f,data_scraped/images/wikimedia__wattle_fence__c949d58e.jpg,dataset/annotations_v1/masks/c1fb6b19-afe2-441b-9c53-87b265f9606f.png,fence_general,1920,1278,27,0.001100,auto_accept_positive,train+train_hq
59,71f51408-e9b6-4b69-ab05-c8ef816913a2,data_scraped/images/unsplash__cedar_board_on_board_fence__133d22c6.jpg,dataset/annotations_v1/masks/71f51408-e9b6-4b69-ab05-c8ef816913a2.png,style_cedar,1080,810,28,0.003201,auto_accept_positive,train
60,7d8a5685-3103-40ed-be19-5c1860ce53d6,data_scraped/images/pixabay__cedar_fence_residential_backyard__b8ee0495.jpg,dataset/annotations_v1/masks/7d8a5685-3103-40ed-be19-5c1860ce53d6.png,style_cedar,1280,853,28,0.002564,auto_accept_positive,train
61,6982a7bf-c85b-49e9-82a4-a0ab39631164,data_scraped/images/pixabay__wooden_privacy_fence_backyard__24743962.jpg,dataset/annotations_v1/masks/6982a7bf-c85b-49e9-82a4-a0ab39631164.png,style_wood,1280,853,29,0.002656,auto_accept_positive,train
62,08b9c354-e452-419f-84d6-8b4040ed7cd6,data_scraped/images/wikimedia__painted_fence__9697f8bb.jpg,dataset/annotations_v1/masks/08b9c354-e452-419f-84d6-8b4040ed7cd6.png,painted_color,1920,1440,30,0.001085,auto_accept_positive,train+train_hq
63,6e6114c8-7343-4e1c-abbd-195003f4ddfa,data_scraped/images/pw_google__cedar_fence_ice_storm_encased_frozen__66764c7e.jpg,dataset/annotations_v1/masks/6e6114c8-7343-4e1c-abbd-195003f4ddfa.png,damaged_construction,960,1280,31,0.002523,auto_accept_positive,train
64,a2a7cb77-ab1f-443c-9d47-c1b3cace6a92,data_scraped/images/wikimedia__wattle_fence__8a14fa7f.jpg,dataset/annotations_v1/masks/a2a7cb77-ab1f-443c-9d47-c1b3cace6a92.png,fence_general,1920,1440,32,0.001157,auto_accept_positive,train+train_hq
65,5314a7c2-bc65-4174-8648-dd230d5fde20,data_scraped/images/pixabay__cedar_fence_residential_backyard__3aecc25b.jpg,dataset/annotations_v1/masks/5314a7c2-bc65-4174-8648-dd230d5fde20.png,style_cedar,1280,717,33,0.003596,auto_accept_positive,train
66,fa2f8d68-178b-49ee-838d-6f2cc2112268,data_scraped/images/pw_bing__pine_wood_fence__aee500d5.jpg,dataset/annotations_v1/masks/fa2f8d68-178b-49ee-838d-6f2cc2112268.png,style_wood,924,693,33,0.005154,auto_accept_positive,train
67,43cd32cd-c233-49cf-bd85-f0b1e46eff7b,data_scraped/images/unsplash__cedar_fence__03aa3e34.jpg,dataset/annotations_v1/masks/43cd32cd-c233-49cf-bd85-f0b1e46eff7b.png,style_cedar,1080,720,34,0.004372,auto_accept_positive,train
68,4d1c77dd-1893-439a-84f3-558248579639,data_scraped/images/pw_google__cedar_fence_illuminated_lantern_warm_glo__0b02994e.jpg,dataset/annotations_v1/masks/4d1c77dd-1893-439a-84f3-558248579639.png,style_cedar,1600,1600,35,0.001367,auto_accept_positive,train+train_hq
69,74111c18-aaa4-4022-ba54-b003d1e36a4b,data_scraped/images/pw_bing__wooden_fence_panels__97b5ba16.jpg,dataset/annotations_v1/masks/74111c18-aaa4-4022-ba54-b003d1e36a4b.png,style_wood,1200,1200,35,0.002431,auto_accept_positive,train+train_hq
70,f9ef8488-aa38-4e60-861a-6277a0478fda,data_scraped/images/pw_bing__cedar_fence__8cc057f9.jpg,dataset/annotations_v1/masks/f9ef8488-aa38-4e60-861a-6277a0478fda.png,style_cedar,1000,1000,35,0.003500,auto_accept_positive,train
71,4f22bcef-8768-4f76-82a0-f26a7b10917d,data_scraped/images/pexels__wooden_lattice_top_fence__fba08661.jpg,dataset/annotations_v1/masks/4f22bcef-8768-4f76-82a0-f26a7b10917d.png,style_wood,1880,1058,37,0.001860,auto_accept_positive,train+train_hq
72,3382f83e-9311-4ebb-917f-056b3ef235f9,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__d1c7049c.jpg,dataset/annotations_v1/masks/3382f83e-9311-4ebb-917f-056b3ef235f9.png,scale_extreme,1080,720,38,0.004887,auto_accept_positive,train
73,ff82ecd3-8495-412f-b2c3-00d70938a3b7,data_scraped/images/pw_google__wooden_scalloped_fence__690e9488.jpg,dataset/annotations_v1/masks/ff82ecd3-8495-412f-b2c3-00d70938a3b7.png,style_wood,1000,1000,38,0.003800,auto_accept_positive,train
74,17e6191b-26f1-4333-a5d6-bef71b053b08,data_scraped/images/wikimedia__countryside_fence__16315f11.jpg,dataset/annotations_v1/masks/17e6191b-26f1-4333-a5d6-bef71b053b08.png,fence_general,1920,2560,40,0.000814,auto_accept_positive,train+train_hq
75,a81388f6-3bf6-4f23-9187-9472554b02c4,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__c090a195.jpg,dataset/annotations_v1/masks/a81388f6-3bf6-4f23-9187-9472554b02c4.png,scale_extreme,1080,720,41,0.005273,auto_accept_positive,train
76,539602b5-63fd-49a1-9cdb-877c116ede0e,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__8b98bcde.jpg,dataset/annotations_v1/masks/539602b5-63fd-49a1-9cdb-877c116ede0e.png,scale_extreme,1080,720,45,0.005787,auto_accept_positive,train
77,692b1ec0-97e3-4126-849b-5107f3e309fe,data_scraped/images/wikimedia__rural_fence__79e2add6.jpg,dataset/annotations_v1/masks/692b1ec0-97e3-4126-849b-5107f3e309fe.png,fence_general,960,1295,45,0.003620,auto_accept_positive,train
78,ce8c695a-785e-4387-b0a8-040e7d467b12,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__d6c37ecc.jpg,dataset/annotations_v1/masks/ce8c695a-785e-4387-b0a8-040e7d467b12.png,scale_extreme,1080,720,46,0.005916,auto_accept_positive,train
79,2037e509-3fa2-4f37-a3db-8b0e7524b26d,data_scraped/images/pw_bing__wooden_fence_panels__d924f4b3.jpg,dataset/annotations_v1/masks/2037e509-3fa2-4f37-a3db-8b0e7524b26d.png,style_wood,1024,1024,47,0.004482,auto_accept_positive,train+train_hq
80,de8b27b3-72fe-48ad-ab39-896043263e90,data_scraped/images/pw_google__cedar_fence_wide_angle_distorted_curved__e56de7d3.jpg,dataset/annotations_v1/masks/de8b27b3-72fe-48ad-ab39-896043263e90.png,angle,877,655,47,0.008182,auto_accept_positive,train
81,26985c31-5c29-4602-85f2-32a58f6d48bc,data_scraped/images/unsplash__cedar_fence__13359fac.jpg,dataset/annotations_v1/masks/26985c31-5c29-4602-85f2-32a58f6d48bc.png,style_cedar,1080,679,48,0.006546,auto_accept_positive,train
82,fb533669-5f15-4e91-8dd0-f1460ee3c4cf,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__b97a9c4f.jpg,dataset/annotations_v1/masks/fb533669-5f15-4e91-8dd0-f1460ee3c4cf.png,scale_extreme,1080,720,48,0.006173,auto_accept_positive,train
83,0c523ca0-ac4f-4a13-944c-9fdd52da4c58,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__c4c2b051.jpg,dataset/annotations_v1/masks/0c523ca0-ac4f-4a13-944c-9fdd52da4c58.png,scale_extreme,1080,720,50,0.006430,auto_accept_positive,train
84,860ed7aa-2e7f-4b96-a32b-06fd2cd7f91d,data_scraped/images/wikimedia__boundary_fence__22ca1ca2.jpg,dataset/annotations_v1/masks/860ed7aa-2e7f-4b96-a32b-06fd2cd7f91d.png,fence_general,1024,768,52,0.006612,auto_accept_positive,train
85,b6f1ad1e-57cc-4978-ad3a-739b48c4046d,data_scraped/images/pixabay__cedar_fence_residential_backyard__f8dd2b71.jpg,dataset/annotations_v1/masks/b6f1ad1e-57cc-4978-ad3a-739b48c4046d.png,style_cedar,1280,853,53,0.004854,auto_accept_positive,train
86,0607adf7-4195-4332-9411-4fa13edfcc94,data_scraped/images/unsplash__wooden_privacy_fence__9904a226.jpg,dataset/annotations_v1/masks/0607adf7-4195-4332-9411-4fa13edfcc94.png,style_wood,1080,719,54,0.006954,auto_accept_positive,train
87,56cf1d13-b25f-4177-8e80-3ba0f48ffcfd,data_scraped/images/pw_google__cedar_fence_missing_several_boards_large__8e1fa97e.jpg,dataset/annotations_v1/masks/56cf1d13-b25f-4177-8e80-3ba0f48ffcfd.png,damaged_construction,1000,1000,56,0.005600,auto_accept_positive,train
88,8a082639-4825-4395-a832-bd6d47a6ab6d,data_scraped/images/pw_houzz__cedar_fence_mid_application_stain_wet_br__eb20e12c.jpg,dataset/annotations_v1/masks/8a082639-4825-4395-a832-bd6d47a6ab6d.png,reflection_water,1600,1600,58,0.002266,auto_accept_positive,train+train_hq
89,4481bb78-eef2-4ac9-9b34-50b612e8d93d,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__d7b4349c.jpg,dataset/annotations_v1/masks/4481bb78-eef2-4ac9-9b34-50b612e8d93d.png,scale_extreme,1080,720,60,0.007716,auto_accept_positive,train
90,5b1316ce-a050-4a7c-8974-9b3a261214dd,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__80bf8eec.jpg,dataset/annotations_v1/masks/5b1316ce-a050-4a7c-8974-9b3a261214dd.png,scale_extreme,1080,720,65,0.008359,auto_accept_positive,train
91,62827ef9-9bad-4c20-98d3-f3bea53a7efa,data_scraped/images/pw_bing__pine_wood_fence__4782617a.jpg,dataset/annotations_v1/masks/62827ef9-9bad-4c20-98d3-f3bea53a7efa.png,style_wood,1000,1000,65,0.006500,auto_accept_positive,train
92,772dd4e0-a8f8-4d35-9705-ee85b2f6ae61,data_scraped/images/unsplash__cedar_privacy_fence__ac4a62f3.jpg,dataset/annotations_v1/masks/772dd4e0-a8f8-4d35-9705-ee85b2f6ae61.png,style_cedar,1080,717,69,0.008911,auto_accept_positive,train
93,c7130d07-45ac-4757-a660-7105544268af,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__26cab5d0.jpg,dataset/annotations_v1/masks/c7130d07-45ac-4757-a660-7105544268af.png,scale_extreme,1080,608,69,0.010508,auto_accept_positive,train
94,cd0cdd09-9d59-42f8-9ef6-67ff1e578e8f,data_scraped/images/pw_google__cedar_fence_viewed_from_rooftop_above__e484af6f.jpg,dataset/annotations_v1/masks/cd0cdd09-9d59-42f8-9ef6-67ff1e578e8f.png,angle,800,800,69,0.010781,auto_accept_positive,train
95,013ab23d-6ad7-4d64-8722-f49fcb672cad,data_scraped/images/unsplash__wooden_fence_with_green_plants__8c8be5ad.jpg,dataset/annotations_v1/masks/013ab23d-6ad7-4d64-8722-f49fcb672cad.png,style_wood,1080,720,72,0.009259,auto_accept_positive,train
96,156ccdde-9ec3-47db-98be-f2594b5e2358,data_scraped/images/pexels__wooden_shadowbox_fence__338bc5a1.jpg,dataset/annotations_v1/masks/156ccdde-9ec3-47db-98be-f2594b5e2358.png,style_wood,1880,1253,78,0.003311,auto_accept_positive,train+train_hq
97,2daccef3-02c6-43ed-92a1-70d158e8cae2,data_scraped/images/unsplash__close_up_cedar_fence_wood_grain__7be0cfcd.jpg,dataset/annotations_v1/masks/2daccef3-02c6-43ed-92a1-70d158e8cae2.png,scale_extreme,1080,785,80,0.009436,auto_accept_positive,train
98,e5744081-7509-4a32-8039-0a41f6cab799,data_scraped/images/pw_google__freshly_stained_cedar_fence__eac38d2d.jpg,dataset/annotations_v1/masks/e5744081-7509-4a32-8039-0a41f6cab799.png,style_cedar,1200,1205,84,0.005809,auto_accept_positive,train+train_hq
99,9952d66e-d580-4d24-bd79-5817f2dbcc17,data_scraped/images/wikimedia__suburban_fence__3651c2aa.jpg,dataset/annotations_v1/masks/9952d66e-d580-4d24-bd79-5817f2dbcc17.png,fence_general,1920,1440,85,0.003074,auto_accept_positive,train+train_hq
